,,,
0, Names, Township, Postal Codes
1, Ahlone, Ahlone, 11121
2, Aung San, Insein, 11012
3, Bahan, Bahan, 11201
4, Bayintnaung Market (Thamine), Mayangone, 11062
5, Bogyoke Market, Pabedan, 11143
6, Botahtaung, Botahtaung, 11162
7, Botahtaung, Botahtaung, 11161
8, Dagon, Dagon, 11191
9, Dagon Myothit (North), Dagon Myothit (North), 11421
10, Dagon Myothit (South), Dagon Myothit (South), 11431
11, Dawbon, Dawbon, 11241
12, Hlaing, Hlaing, 11051
13, Hlaing Thar Yar, Hlaing Thar Yar, 11401
14, Insein, Insein, 11011
15, Kaba Aye, Mayangone, 11061
16, Kamayut, Kamayut, 11041
17, Kyauk Tan, Kyauk Tan, 11301
18, Kyauktada, Kyauktada, 11182
19, Kyeemyindaing, Kyimyindaing, 11101
20, Lanmadaw, Lanmadaw, 11131
21, Mingalar Taung Nyunt, Mingalar Taung Nyunt, 11221
22, Mingalardon, Mingalardon, 11021
23, Okkalapa (North), Okkalapa (North), 11031
24, Okkalapa (South), Okkalapa (South), 11091
25, Pabedan, Pabedan, 11141
26, Pazundaung, Pazundaung, 11171
27, Pyi Thar Yar, Yankin, 11082
28, Sanchaung, Sanchaung, 11111
29, Shwe Pyi Thar, Shwe Pyi Thar, 11411
30, Shwepaukan, Okkalapa (North), 11032
31, Tamwe, Tamwe, 11211
32, Tanyin, Tanyin, 11291
33, Thamine College, Hlaing, 11052
34, Tharkayta, Tharkayta, 11231
35, Theingyi Market, Pabedan, 11142
36, Thingangyun, Thingangyun, 11071
37, Thuwunna, Thingangyun, 11072
38, Yangon (Main Post Office), Yangon, 11181
39, Yangon Station, Mingalar Taung Nyunt, 11222
40, Yankin, Yankin, 11081
